model,n_layers,hidden_dim,epsilon,coverage_answerable,abstain_unanswerable,hallucination_unanswerable
Qwen/Qwen2.5-3B-Instruct,36,2048,-40.0,0.014285714285714235,1.0,0.0
Qwen/Qwen2.5-3B-Instruct,36,2048,-30.0,0.042857142857142816,1.0,0.0
Qwen/Qwen2.5-3B-Instruct,36,2048,-20.0,0.05714285714285716,0.9928571428571429,0.007142857142857143
Qwen/Qwen2.5-3B-Instruct,36,2048,-10.0,0.1071428571428571,0.9928571428571429,0.007142857142857143
Qwen/Qwen2.5-3B-Instruct,36,2048,0.0,0.15000000000000002,0.9928571428571429,0.007142857142857143
Qwen/Qwen2.5-3B-Instruct,36,2048,10.0,0.19285714285714284,0.9928571428571429,0.007142857142857143
Qwen/Qwen2.5-3B-Instruct,36,2048,20.0,0.24285714285714288,1.0,0.0
