model,n_layers,hidden_dim,epsilon,coverage_answerable,abstain_unanswerable,hallucination_unanswerable
Qwen/Qwen2.5-1.5B-Instruct,28,1536,-40.0,0.1785714285714286,1.0,0.0
Qwen/Qwen2.5-1.5B-Instruct,28,1536,-30.0,0.26428571428571423,1.0,0.0
Qwen/Qwen2.5-1.5B-Instruct,28,1536,-20.0,0.44285714285714284,0.9714285714285714,0.02857142857142857
Qwen/Qwen2.5-1.5B-Instruct,28,1536,-10.0,0.6071428571428572,0.9357142857142857,0.06428571428571428
Qwen/Qwen2.5-1.5B-Instruct,28,1536,0.0,0.7214285714285714,0.8857142857142857,0.11428571428571428
Qwen/Qwen2.5-1.5B-Instruct,28,1536,10.0,0.8142857142857143,0.8642857142857143,0.1357142857142857
Qwen/Qwen2.5-1.5B-Instruct,28,1536,20.0,0.8714285714285714,0.8,0.2
